Memphis Grizzlies,$1.3 billion
New Orleans Pelicans,$1.35 billion
Minnesota Timberwolves,$1.4 billion
Detroit Pistons,$1.45 billion
Orlando Magic,$1.46 billion
Charlotte Hornets,$1.5 billion
Atlanta Hawks,$1.52 billion
Indiana Pacers,$1.55 billion
Cleveland Cavaliers,$1.56 billion
Oklahoma City Thunder,$1.575 billion
Milwaukee Bucks,$1.625 billion
Denver Nuggets,$1.65 billion
Utah Jazz,$1.66 billion
Phoenix Suns,$1.7 billion
Washington Wizards,$1.8 billion
Sacramento Kings,$1.825 billion
San Antonio Spurs,$1.85 billion
Portland Trail Blazers,$1.9 billion
Miami Heat,$2 billion
Philadelphia 76ers,$2.075 billion
Toronto Raptors,$2.15 billion
Dallas Mavericks,$2.45 billion
Houston Rockets,$2.5 billion
Brooklyn Nets,$2.65 billion
Los Angeles Clippers,$2.75 billion
Boston Celtics,$3.2 billion
Chicago Bulls,$3.3 billion
Los Angeles Lakers,$4.6 billion
Golden State Warriors,$4.7 billion
New York Knicks,$5 billion
Cincinnati Bengals,$2 billion
Buffalo Bills,$2.05 billion
Detroit Lions,$2.1 billion
Tampa Bay Buccaneers,$2.28 billion
Tennessee Titans,$2.3 billion
Arizona Cardinals,$2.325 billion
Cleveland Browns,$2.35 billion
Jacksonville Jaguars,$2.45 billion
New Orleans Saints,$2.475 billion
Kansas City Chiefs,$2.5 billion
Carolina Panthers,$2.55 billion
Los Angeles Chargers,$2.6 billion
Indianapolis Colts,$2.85 billion
Atlanta Falcons,$2.875 billion
Miami Dolphins,$2.9 billion
Minnesota Vikings,$2.95 billion
Baltimore Ravens,$2.975 billion
Pittsburgh Steelers,$3 billion
Green Bay Packers,$3.05 billion
Seattle Seahawks,$3.075 billion
Las Vegas Raiders,$3.1 billion
Denver Broncos,$3.2 billion
Houston Texans,$3.3 billion
Philadelphia Eagles,$3.4 billion
Washington Football Team,$3.5 billion
Chicago Bears,$3.525 billion
New York Jets,$3.55 billion
San Francisco 49ers,$3.8 billion
Los Angeles Rams,$4 billion
New York Giants,$4.3 billion
New England Patriots,$4.4 billion
Dallas Cowboys,$5.7 billion
New York Rangers,$1.65 billion
Toronto Maple Leafs,$1.5 billion
Montreal Canadiens,$1.34 billion
Chicago Blackhawks,$1.085 billion
Boston Bruins,$1 billion
Los Angeles Kings,$850 million
Philadelphia Flyers,$825 million
Detroit Red Wings,$800 million
Washington Capitals,$775 million
Vancouver Canucks,$740 million
Pittsburgh Penguins,$665 million
Dallas Stars,$600 million
Vegas Golden Knights,$580 million
Edmonton Oilers,$575 million
New Jersey Devils,$550 million
San Jose Sharks,$540 million
St. Louis Blues,$530 million
New York Islanders,$520 million
Minnesota Wild,$510 million
Calgary Flames,$500 million
Anaheim Ducks,$480 million
Colorado Avalanche,$475 million
Tampa Bay Lightning,$470 million
Nashville Predators,$460 million
Carolina Hurricanes,$450 million
Ottawa Senators,$445 million
Winnipeg Jets,$420 million
Buffalo Sabres,$400 million
Columbus Blue Jackets,$326 million
Florida Panthers,$310 million
Arizona Coyotes,$300 million
Boston Red Sox, $3.465 billion
Chicago Cubs, $3.360 billion
San Francisco Giants, $3.175 billion
New York Mets, $2.450 billion
St. Louis Cardinals, $2.245 billion
Philadelphia Phillies, $2.050 billion
Los Angeles Angels, $2.025 billion
Washington Nationals, $1.925 billion
Atlanta Braves, $1.875 billion
Houston Astros, $1.870 billion
Texas Rangers, $1.785 billion
Chicago White Sox, $1.685 billion
Toronto Blue Jays, $1.675 billion
Seattle Mariners, $1.630 billion
San Diego Padres, $1.500 billion
Baltimore Orioles, $1.430 billion
Minnesota Twins, $1.325 billion
Arizona Diamondbacks, $1.320 billion
Colorado Rockies, $1.300 billion
Pittsburgh Pirates, $1.285 billion
Detroit Tigers, $1.260 billion
Milwaukee Brewers, $1.220 billion
Cleveland Indians, $1.160 billion
Oakland Athletics, $1.125 billion
Cincinnati Reds, $1.085 billion
Kansas City Royals, $1.060 billion
Tampa Bay Rays, $1.055 billion
Miami Marlins, $990 million
